id,sent0,sent1,gold_label
482,we can play cricket with the basket ball,we can play cricket with a cricket bat.,0
483,I would learn a language because i need to travel,You would learn a language because i need to travel,1
484,She can see a ship in the sea,She can see a ship in the pond,1
485,He listened to the music on mobile phone,He listened to the music on the belt,1
486,The pen ran out of ink,The pen ran out of mayonnaise,1
487,He asked his dog to help in his office work,He asked his wife to help in his office work,0
488,She took the wardrobe out of the clothes,She took the clothes out of the wardrobe,0
489,You can improve your wifi signal by removing your teeth between your device and router,You can improve your wifi signal by removing obstructions between your device and router,0
490,He paid the bill with his credit card,He paid the bill with his nose,1
491,A barber shop is for dining out.,A barber shop is for getting hair cuts.,0
492,Lightning is seen after thunder,Thunder is heard after lightning,0
493,people jump from building to avoid stairs,people use lift  in a building to avoid stairs,0
494,He was painting the house with brush,He was painting the house with spoon,1
495,A lion is something you will find at a mall,A lion is something you will find at a forest,0
496,The chicken laid an egg,The chicken laid a dog,1
497,A man walked into the bank and made a deposit,A man went to the pool and deposited cash,1
498,Many Americans can eat at restaurants.,Many Americans can eat at toll booths.,1
499,My favorite fruit is apple.,My favorite fruit is Meat.,1
500,The policeman gave him a ticket for speeding.,The policeman gave him a reward for speeding.,1
501,George went to the basement to get some sun,George went to the beach to get some sun,0
502,He was so sad that he couldn't stop smiling.,He was so happy that he couldn't stop smiling.,0
503,He wore helmet to protect his head,He wore cooker to protect his head,1
504,We can see stars at day,We can see stars at night,0
505,About fifty people get in to a bus,About fifty people get in to a car,1
506,The two children threw a ball back and forth.,The two children threw a knife back and forth.,1
507,staying healthy requires drinking more whiskey,staying healthy requires eating healthy food,0
508,He wore glasses for eye,He wore glasses for finger,1
509,He murdered the shopkeeper with rifle,He murdered the fridge with rifle,1
510,English is a universal bird,English is a universal language,0
511,Books are suppose to be read,Books are suppose to eat,1
512,He checked the time in his pen,He checked the time in his watch,0
513,She went to the bookstore to get ready for her wedding.,She went to the hairdresser to get ready for her wedding.,0
514,The dog was chasing his wings,The dog was chasing his tail,0
515,He put on his shoes and went outside,He went outside and put on his shoes,1
516,The horse barked because he heard people walking down the street.,The dog barked because he heard people walking down the street.,0
517,He poured coffee into pizza.,He poured coffee into his cup.,0
518,she went to library to watch a movie.,she went to library to read the books.,0
519,Water in solid form is liquid.,Water in solid form is ice.,0
520,An ant is smaller then an atom.,An ant is smaller then a horse.,0
521,You would apply for volunteer work because you want money,You would apply for a job because you want money,0
522,Driver of a bus usually sits in the rearmost seat,You will find the driver of a bus in the front seat,0
523,The cat wants to go through the door.,The fridge wants to go through the door.,1
524,He went to blood bank to eat food,he went to blood bank to donate blood,0
525,He was travelling to office in his cooker,He was travelling to office in his bike,0
526,Cyclists ride a zebra in a competition,Cyclists ride a bike in a competition,0
527,The pilot was flying the plane,The pilot was flying the bike,1
528,she put a giraffe in the fridge.,he put an apple in the fridge,0
529,A car needs four wheels and a blender in order for it to be standard.,A car needs four wheels and an engine in order for it to be standard.,0
530,The newly married couple gave birth to a dog,The newly married couple gave birth to a boy baby,0
531,The President Ordered the Military to Attack,The Military ordered the President to Attack,1
532,a man drink beer in a hospital,a man drink beer in a bar,0
533,They were playing football in the ground,They were playing football in the fridge,1
534,My nose is stuffed with ham.,My nose is stuffed with boogers.,0
535,She washes her hair everyday with a mild shampoo,She washes her hair everyday with a mild hair oil,1
536,She drank air from her water-bottle,She drank water from her water-bottle,0
537,"Since my friend is a recovering alcoholic, she only drinks sodas at restaurants.","Since my friend is a recovering  alcoholic, she only drinks wine at restaurants.",1
538,He went to theater to watch movie,He went to helmet to watch movie,1
539,He made real contact lenses with match sticks,He made a model plane with match sticks,0
540,The kitten ran through the sun.,The kitten ran through the bushes.,0
541,Gunpowder can burn for hours,A candle can burn for hours.,0
542,she put a ice cream into the fridge,she put a crocodile into the fridge,1
543,"Stacey wanted to have some fun, so she went to church","Stacey wanted to have some fun, so she went out to the club",0
544,Weapons are used in marriage,Weapons are used in war,0
545,Tom went to the job interview because he wanted money,Tom went to the job interview because he wanted soup,1
546,he withdrew pen from the bank,he withdrew cash from the bank,0
547,I will be at the club tomorrow for my antenatal.,I will be at the hospital tomorrow for my antenatal.,0
548,He deposited money in the bank,He deposited money in the restaurant,1
549,My wall is African American.,My wall is white.,0
550,A library contains tons of bookshelves,A library contains tons of drinks,1
551,the guy won in the election,The lion won in the election,1
552,Dogs like eating vegetables,Dogs like eating sausages,0
553,She drove her car around the supermarket to collect groceries,She pushed her trolley around the supermarket to collect groceries,0
554,He wrote a letter to his wife on a stove,He wrote a letter to his wife on a paper,0
555,He wrote in a paper with a pen,He used an eraser to write in a paper,1
556,She killed a deer when she went hunting.,She killed an octopus when she went hunting.,1
557,You find wood in tears,You find water in tears,0
558,I buy milk and put it in the fridge.,I buy paper towels and put them in the fridge.,1
559,A flamingo is a type of bird,A lion is a type of bird,1
560,He was playing games on his computer,He was playing games on his headphones,1
561,A weightlifter must life weights to qualify as a weightlifter.,Weightlifters do not use weights when lifting.,1
562,birds can fly long distances,Chickens can fly long distances,1
563,We turn the AC on to cool ourselves down.,We turn the AC on because we like to push buttons.,1
564,He mowed the lawn in the morning.,He mowed the car in the morning.,1
565,She put an Indian in the oven.,She put a pie in the oven.,0
566,She kicked the ball down the street.,The street kicked the ball down.,1
567,The waiter brought a silver spoon to eat.,The waiter brought a  roasted chicken to eat.,0
568,He used warm clothing for skying,He used warm clothing for sunbathing,1
569,The dog was running in the sky,The dog was running,0
570,My cat is as big as elephant.,My cat is lovely.,0
571,Hybrid cars pollute a lot in the city,Hybrid cars pollute little in the city,0
572,Apples grow on trees.,Corn grows on trees.,1
573,She have wolf pet named muffin,She have cat pet named muffin,0
574,A total of 2000 students enrolled into the University of Portsmouth this year.,A total of 2000 Lions enrolled into the University of Portsmouth this year.,1
575,It is tuna day.,It is Friday today.,0
576,He went to the super market to buy parents,He went to the super market to buy groceries,0
577,I looked into the mirror.,I went inside the mirror.,1
578,He watch television daily,Television watch him daily,1
579,Cats are commonly kept as dogs.,Cats are commonly kept as pets.,0
580,A hot mug of coffee is a great way to go to sleep.,A hot mug of coffee is a great way to start the day.,0
581,The girl rides the dog.,The girl walks the dog .,0
582,Cockroaches are white insects,Cockroaches are black insects,0
